time,thrust
628,4.749651685
629,4.749511236
630,4.749370787
631,4.749230337
632,4.749089888
633,4.748949438
634,4.748808989
635,4.748668539
636,4.74852809
637,4.74838764
638,4.748247191
639,4.748106742
640,4.747966292
641,4.747825843
642,4.747685393
643,4.747544944
644,4.747404494
645,4.747264045
646,4.747123596
647,4.746983146
648,4.746842697
649,4.746702247
650,4.746561798
651,4.746421348
652,4.746280899
653,4.746140449
654,4.746
655,4.745719231
656,4.745438462
657,4.745157692
658,4.744876923
659,4.744596154
660,4.744315385
661,4.744034615
662,4.743753846
663,4.743473077
664,4.743192308
665,4.742911538
666,4.742630769
667,4.74235
668,4.742069231
669,4.741788462
670,4.741507692
671,4.741226923
672,4.740946154
673,4.740665385
674,4.740384615
675,4.740103846
676,4.739823077
677,4.739542308
678,4.739261538
679,4.738980769
680,4.7387
681,4.738419231
682,4.738138462
683,4.737857692
684,4.737576923
685,4.737296154
686,4.737015385
687,4.736734615
688,4.736453846
689,4.736173077
690,4.735892308
691,4.735611538
692,4.735330769
693,4.73505
694,4.734769231
695,4.734488462
696,4.734207692
697,4.733926923
698,4.733646154
699,4.733365385
700,4.733084615
701,4.732803846
702,4.732523077
703,4.732242308
704,4.731961538
705,4.731680769
706,4.7314
707,4.731119231
708,4.730838462
709,4.730557692
710,4.730276923
711,4.729996154
712,4.729715385
713,4.729434615
714,4.729153846
715,4.728873077
716,4.728592308
717,4.728311538
718,4.728030769
719,4.72775
720,4.727469231
721,4.727188462
722,4.726907692
723,4.726626923
724,4.726346154
725,4.726065385
726,4.725784615
727,4.725503846
728,4.725223077
729,4.724942308
730,4.724661538
731,4.724380769
732,4.7241
733,4.723819231
734,4.723538462
735,4.723257692
736,4.722976923
737,4.722696154
738,4.722415385
739,4.722134615
740,4.721853846
741,4.721573077
742,4.721292308
743,4.721011538
744,4.720730769
745,4.72045
746,4.720169231
747,4.719888462
748,4.719607692
749,4.719326923
750,4.719046154
751,4.718765385
752,4.718484615
753,4.718203846
754,4.717923077
755,4.717642308
756,4.717361538
757,4.717080769
758,4.7168
759,4.716519231
760,4.716238462
761,4.715957692
762,4.715676923
763,4.715396154
764,4.715115385
765,4.714834615
766,4.714553846
767,4.714273077
768,4.713992308
769,4.713711538
770,4.713430769
771,4.71315
772,4.712869231
773,4.712588462
774,4.712307692
775,4.712026923
776,4.711746154
777,4.711465385
778,4.711184615
779,4.710903846
780,4.710623077
781,4.710342308
782,4.710061538
783,4.709780769
784,4.7095
785,4.709219231
786,4.708938462
787,4.708657692
788,4.708376923
789,4.708096154
790,4.707815385
791,4.707534615
792,4.707253846
793,4.706973077
794,4.706692308
795,4.706411538
796,4.706130769
797,4.70585
798,4.705569231
799,4.705288462
800,4.705007692
801,4.704726923
802,4.704446154
803,4.704165385
804,4.703884615
805,4.703603846
806,4.703323077
807,4.703042308
808,4.702761538
809,4.702480769
810,4.7022
811,4.701919231
812,4.701638462
813,4.701357692
814,4.701076923
815,4.700796154
816,4.700515385
817,4.700234615
818,4.699953846
819,4.699673077
820,4.699392308
821,4.699111538
822,4.698830769
823,4.69855
824,4.698269231
825,4.697988462
826,4.697707692
827,4.697426923
828,4.697146154
829,4.696865385
830,4.696584615
831,4.696303846
832,4.696023077
833,4.695742308
834,4.695461538
835,4.695180769
836,4.6949
837,4.694619231
838,4.694338462
839,4.694057692
840,4.693776923
841,4.693496154
842,4.693215385
843,4.692934615
844,4.692653846
845,4.692373077
846,4.692092308
847,4.691811538
848,4.691530769
849,4.69125
850,4.690969231
851,4.690688462
852,4.690407692
853,4.690126923
854,4.689846154
855,4.689565385
856,4.689284615
857,4.689003846
858,4.688723077
859,4.688442308
860,4.688161538
861,4.687880769
862,4.6876
863,4.687319231
864,4.687038462
865,4.686757692
866,4.686476923
867,4.686196154
868,4.685915385
869,4.685634615
870,4.685353846
871,4.685073077
872,4.684792308
873,4.684511538
874,4.684230769
875,4.68395
876,4.683669231
877,4.683388462
878,4.683107692
879,4.682826923
880,4.682546154
881,4.682265385
882,4.681984615
883,4.681703846
884,4.681423077
885,4.681142308
886,4.680861538
887,4.680580769
888,4.6803
889,4.680019231
890,4.679738462
891,4.679457692
892,4.679176923
893,4.678896154
894,4.678615385
895,4.678334615
896,4.678053846
897,4.677773077
898,4.677492308
899,4.677211538
900,4.676930769
901,4.67665
902,4.676369231
903,4.676088462
904,4.675807692
905,4.675526923
906,4.675246154
907,4.674965385
908,4.674684615
909,4.674403846
910,4.674123077
911,4.673842308
912,4.673561538
913,4.673280769
914,4.673
915,4.67289404
916,4.672788079
917,4.672682119
918,4.672576159
919,4.672470199
920,4.672364238
921,4.672258278
922,4.672152318
923,4.672046358
924,4.671940397
925,4.671834437
926,4.671728477
927,4.671622517
928,4.671516556
929,4.671410596
930,4.671304636
931,4.671198675
932,4.671092715
933,4.670986755
934,4.670880795
935,4.670774834
936,4.670668874
937,4.670562914
938,4.670456954
939,4.670350993
940,4.670245033
941,4.670139073
942,4.670033113
943,4.669927152
944,4.669821192
945,4.669715232
946,4.669609272
947,4.669503311
948,4.669397351
949,4.669291391
950,4.66918543
951,4.66907947
952,4.66897351
953,4.66886755
954,4.668761589
955,4.668655629
956,4.668549669
957,4.668443709
958,4.668337748
959,4.668231788
960,4.668125828
961,4.668019868
962,4.667913907
963,4.667807947
964,4.667701987
965,4.667596026
966,4.667490066
967,4.667384106
968,4.667278146
969,4.667172185
970,4.667066225
971,4.666960265
972,4.666854305
973,4.666748344
974,4.666642384
975,4.666536424
976,4.666430464
977,4.666324503
978,4.666218543
